tasks,variants,memory,xml,generator,description
0,1,17399808,346,1004,883
1000,1,25993216,326020,384662,675497
2000,1,35160064,652020,750723,1681104
3000,1,43450368,978020,1232560,2403913
4000,1,53596160,1304020,1613903,3236995
5000,1,62713856,1630020,2555338,4338355
6000,1,71708672,1956020,3019888,4738920
7000,1,79249408,2282020,2827020,5022414
8000,1,87810048,2608020,3267187,5786746
9000,1,99704832,2934020,3563902,6303268
10000,1,105857024,3260020,3970176,7394146
11000,1,111218688,3586020,4452711,7728914
12000,1,120492032,3912020,4830303,8607047
13000,1,129961984,4238020,5235702,9221741
14000,1,137658368,4564020,5578926,10004717
15000,1,147005440,4890020,6866906,10817998
16000,1,156020736,5216020,6550546,12304151
17000,1,177549312,5542020,6412969,12354647
18000,1,186466304,5868020,7413633,14415718
19000,1,194162688,6194020,7190713,12265221
20000,1,196808704,6520020,7607033,12920091
21000,1,200114176,6846020,8251182,14940515
22000,1,208072704,7172020,9504886,18183467
23000,1,217993216,7498020,9858800,16828537
24000,1,239337472,7824020,9404334,18684854
25000,1,241287168,8150020,9576955,16613717
26000,1,244613120,8476020,10844725,17644506
27000,1,253394944,8802020,11413253,18911693
28000,1,261935104,9128020,10800363,18365270
29000,1,271478784,9454020,10982754,20449917
30000,1,279928832,9780020,14035649,20279305
31000,1,288677888,10106020,15255715,20455983
32000,1,298020864,10432020,12412014,22145233
33000,1,306012160,10758020,12985945,21270153
34000,1,340160512,11084020,13707887,26976728
35000,1,342294528,11410020,13664593,23685935
36000,1,357806080,11736020,15873196,23969823
37000,1,359923712,12062020,14908475,24748382
38000,1,363241472,12388020,14658154,25790875
39000,1,383676416,12714020,15491510,25529225
40000,1,386691072,13040020,15337484,28750312
41000,1,388284416,13366020,17750851,28916860
42000,1,390942720,13692020,16972372,34462367
43000,1,393916416,14018020,23636794,39224580
44000,1,401838080,14344020,31237662,40747731
45000,1,413597696,14670020,23178851,40035740
46000,1,422879232,14996020,24340764,37731193
47000,1,430927872,15322020,19579497,30322967
48000,1,439627776,15648020,18327621,31279039
49000,1,448094208,15974020,18954983,32026896
50000,1,457117696,16300020,19293494,32676779
51000,1,466444288,16626020,19641376,33227213
52000,1,474456064,16952020,20139140,33728973
53000,1,483213312,17278020,20542832,34442080
54000,1,492568576,17604020,21349502,38443229
55000,1,500891648,17930020,22710029,35576095
56000,1,510255104,18256020,23734897,36256751
57000,1,519258112,18582020,22110375,36764765
58000,1,527515648,18908020,22716792,37584195
59000,1,536346624,19234020,22933793,37988503
60000,1,545288192,19560020,23133289,38589663
61000,1,554065920,19886020,23598374,39464436
62000,1,563040256,20212020,23999481,41833883
63000,1,571441152,20538020,24260011,40985419
64000,1,580091904,20864020,24784577,41688509
65000,1,589385728,21190020,25009596,42359524
66000,1,598003712,21516020,25659957,43015053
67000,1,606752768,21842020,26166431,48041263
68000,1,615878656,22168020,28083259,45267932
69000,1,623566848,22494020,27516199,46634411
70000,1,633208832,22820020,28423729,46642607
71000,1,642187264,23146020,27922234,48997442
72000,1,651194368,23472020,32292041,54323804
73000,1,659697664,23798020,30541318,50378997
74000,1,668303360,24124020,30660038,54854835
75000,1,676720640,24450020,30466754,51019659
76000,1,686784512,24776020,30844521,50929598
77000,1,694259712,25102020,30651170,52896988
78000,1,702742528,25428020,30638077,52125183
79000,1,711643136,25754020,30917703,51697031
80000,1,721268736,26080020,37024082,55375943
81000,1,730062848,26406020,32845516,53589310
82000,1,738553856,26732020,36482586,58843260
83000,1,748019712,27058020,39627376,60465952
84000,1,756809728,27384020,38085833,65984768
85000,1,765157376,27710020,36730395,56350069
86000,1,773943296,28036020,34208193,57799539
